title,authors,article_info,abstract,categories/keyword,citation_info,document_info,author_tags,affiliations,funding
Automated Firearm Classification from Bullet Markings Using Deep Learning(Article)(Open Access),"['Pisantanaroj, P.', 'Tanpisuth, P.', 'Sinchavanwat, P.', 'Phasuk, S.', 'Phienphanich, P.', 'Jangtawee, P.', 'Yakoompai, K.', 'Donphoongpi, M.', 'Ekgasit, S.', 'Tantibundhit, C.']","Volume 8, 2020, Article number 9076037, Pages 78236-78251","Firearm violence is one of the leading causes of death in many countries around the world, including Thailand. This work proposes a fast and accurate automated method to classify firearm brands from bullet markings. Specifically, a panoramic image of a bullet collected from a crime scene was captured using a developed mobile phone application and custom-built portable hardware. The top three state-of-the-art CNNs pretrained on ImageNet - DenseNet121, ResNet50, and Xception - were further trained on the same training set, which was composed of 718 bullets collected from eight different firearm brands - Beretta, Browning, CZ, Glock, Norinco, Ruger, Sig Sauer, and Smith Wesson - using a five-fold cross validation technique. DenseNet121 provided the highest AUC of 0.99 for CZ classification (the most common registered firearm brand in Thailand) and the highest average AUC for the eight firearm brands (0.9780 ± 0.0130 SD), which was significantly higher than those of ResNet50 and Xception. In addition, there were no interaction effects between the CNN model and firearm brand on AUC. DenseNet121, which had the highest AUC, was evaluated on the test set (72 bullets), and the results showed that the Beretta and CZ classifications had the lowest accuracy (91.18%), followed by the Browning and Norinco classifications (96.88%), whereas the Glock, Ruger, Sig Sauer, and Smith Wesson classifications had the highest accuracy (98.41%). These results suggest that the developed mobile phone application based on a deep learning algorithm and the custom-built portable hardware have promising potential for use at crime scenes to classify firearms from bullet markings. By narrowing down the list of suspects, this convenient approach can potentially accelerate bullet identification processes for many forensic science examiners. © 2013 IEEE.",IEEE Access,"{'ISSN': '21693536', 'Source Type': 'Journal', 'Original Language': 'English'}","{'Document Type': '10.1109/ACCESS.2020.2989673', 'Publisher': 'Article'}","['9 mm bullet marking', 'automated firearm classification', 'densely connected convolutional network', 'Forensic science', 'Cellular telephones', 'Classification (of information)', 'Crime', 'E-learning', 'Learning algorithms', 'Portable equipment', 'Automated methods', 'Cross-validation technique', 'Firearm violence', 'Identification process', 'Interaction effect', 'Mobile phone applications', 'Panoramic images', 'State of the art', 'Deep learning']","['aCenter of Excellence in Intelligent Informatics, Speech and Language Technology and Service Innovation (CILS), Thammasat University, Rangsit Campus, Pathum Thani, 12120, Thailand', 'bDepartment of Electrical and Computer Engineering, Faculty of Engineering, Thammasat University, Khlong Nueng, 12120, Thailand', 'cRuamrudee International School, Bangkok, 10510, Thailand', 'dSensor Research Unit, Department of Chemistry, Faculty of Science, Chulalongkorn University, Bangkok, 10330, Thailand', 'eFirearms and Ammunition Subdivision, Central Police Forensic Science Division, Bangkok, 10830, Thailand', 'fProfessional Level Firearm and Physical Evidence Examination Section, Ministry of Justice, Bangkok, 10210, Thailand']",[]
A scaling perspective on the distribution of executive compensation(Article),"['Sitthiyot, T.', 'Budsaratragoon, P.', 'Holasut, K.']","Volume 543, 1 April 2020, Article number 123556","We investigate scale invariance or self-similarity in the distribution of average executive compensation defined as total executive compensation for each company divided by the number of executives in that company. Using annual data on companies listed in the Stock Exchange of Thailand between 2002 and 2015, the average executive compensation is categorized into three groups according to time period, industry type, and company size. The results from estimating the Lorenz curve and the Kolmogorov–Smirnov test indicate that the distributions of average executive compensation are statistically scale invariance or self-similar across time period, industry type, and company size with p-values greater than 0.01 in all cases. © 2019 Elsevier B.V.",Physica A: Statistical Mechanics and its Applications,"{'ISSN': '03784371', 'Source Type': 'PHYAD', 'Original Language': 'Journal'}","{'Document Type': '10.1016/j.physa.2019.123556', 'Publisher': 'Article'}","['Executive compensation distribution', 'Lorenz curve', 'Scale invariance', 'Self-similarity', 'Physics', 'Company size', 'Executive compensation', 'Lorenz curves', 'Scale invariance', 'Self-similar', 'Self-similarities', 'Stock Exchange of Thailand', 'Time-periods', 'Computational complexity']","['aDepartment of Banking and Finance, Faculty of Commerce and Accountancy, Chulalongkorn University, Mahitaladhibesra Bld., 10th Fl., Phayathai Rd., Bangkok, Pathumwan  10330, Thailand', 'bDepartment of Chemical Engineering, Faculty of Engineering, Khon Kaen University, Mittapap Rd., Khon Kaen, Muang District  40002, Thailand']",[]
Influence of the spatial variability of hydraulic parameters on rainfall-induced landslides(Conference Paper),"['Nguyen, T.S.', 'Likitlersuang, S.']",2020,"The effect of rainfall-induced landslides is usually characterised by hydraulic parameters of soil such as saturated permeability (ks) and soil water characteristic curve (SWCC). The main objective of this paper is to investigate the influence of spatial variability of hydraulic parameters on slope stability of unsaturated soil during rainfall infiltration. The spatial variability of ksand van Genuchten parameters (a, n) are simulated by random field theory using the Cholesky decomposition technique. An infinite unsaturated soil slope model is employed for stability analysis. A transient seepage analysis is conducted by random finite element method (RFEM) to obtain the pore water pressure distribution. Next, a stability analysis is performed to indicate the failure mechanism of slope. A numerical procedure for a probabilistic analysis of slope is performed based on Monte Carlo simulation. The results show that the failure probability of slope is highly influenced by the spatial variability of SWCC. Copyright © Soil Mechanics and Geotechnical Engineering, ARC 2019.All rights reserved.",,"{'ISSN': 'Conference Proceeding', 'Source Type': 'English'}","{'Document Type': 'Conference Paper', 'Publisher': 'AECOM,CECI Engineering Consultants, Inc.,CECI Nova Technology Co. Ltd.,et al.,Hwang Chang General Contractor Co., Ltd,SINOTECH Engineering Consultants, Ltd.'}","['Permeability', 'Probabilistic analysis', 'Rainfall infiltration', 'Random field', 'Slope stability', 'Soil water characteristic curve', 'Geotechnical engineering', 'Intelligent systems', 'Landslides', 'Monte Carlo methods', 'Pressure distribution', 'Rain', 'Soil mechanics', 'Soil moisture', 'Cholesky decomposition', 'Numerical procedures', 'Probabilistic analysis', 'Rainfall induced landslides', 'Rainfall infiltration', 'Random finite element method (RFEM)', 'Soil-water characteristic curve', 'Unsaturated soil slopes', 'Failure (mechanical)']","['aDepartment of Civil Engineering, Faculty of Engineering, Chulalongkorn University, Bangkok, Thailand', 'bDepartment of Civil Engineering, Faculty of Engineering, Mien Trung University of Civil Engineering, Phu Yen, Viet Nam', 'cCentre of Excellence in Geotechnical and Geological Engineering, Department of Civil Engineering, Faculty of Engineering, Chulalongkorn University, Bangkok, Thailand']","[{'Funding Sponsor': 'Chulalongkorn University', 'Funding Number': '762003-CC', 'Acronym': 'CU'}, {'Funding Sponsor': 'Thailand Research Fund', 'Funding Number': 'DBG-6180004', 'Acronym': 'TRF'}]"
Opinion mining for laptop reviews using naïve bayes(Article),"['Pugsee, P.', 'Chatchaithanawat, T.']","Volume 20, Issue 2, May-August 2020, Pages 278-294","This research is to develop an opinion mining application which allows users to clarify what the reviews on the laptop mentioned. The aim of the research is to analyze user’s opinions from laptop reviews on popular online communities. The proposed methodology is composed of four essential processes: preparing data for analysis, detecting subjective text paragraphs, identifying the aspects and classifying the sentiments of text paragraphs. The subjective textual contents are determined by detecting subjective words occurred in the sentences of text paragraphs. Then, only the subjective paragraphs might be classified into specific aspects using comparisons with the vocabularies of aspect domains. Finally, the paragraph sentiments will be categorized into positive or negative opinions using the Naïve Bayes classifier. The experimental results with the performance evaluation showed that the accuracy and precision of the subjective detection of text paragraphs are greater than 90%. In addition, the accuracy and precision of sentiment classification are more than 70%. Therefore, this tool can help consumers in categorizing laptop review paragraphs into aspects and sentiment groups for making selections before purchasing laptops. © 2020, King Mongkut's Institute of Technology Ladkrabang. All rights reserved.",Current Applied Science and Technology,"{'ISSN': '25869396', 'Source Type': 'Journal', 'Original Language': 'English'}","{'Document Type': '10.14456/cast.2020.16', 'Publisher': 'Article'}","['Laptop reviews', 'Naïve Bayes', 'Opinion mining', 'Review analysis']","['aInnovative Network and Software Engineering Technology Laboratory, Department of Mathematics and Computer Science, Faculty of Science, Chulalongkorn University, Bangkok, Thailand', 'bStream I.T. Consulting Co., Ltd., Bangkok, Thailand']","[{'Funding Sponsor': 'Office of the Higher Education Commission', 'Funding Number': 'MRG6180250', 'Acronym': 'OHEC'}, {'Funding Sponsor': 'Thailand Research Fund', 'Funding Number': '', 'Acronym': 'TRF'}]"
Contralateral Mueller’s muscle-conjunctiva resection: a therapeutic option in thyroid eye disease patients with unilateral eyelid retraction(Article),"['Saonanon, P.', 'Potita, P.']","Volume 39, Issue 2, 3 March 2020, Pages 98-101","Purpose: To evaluate pre- and post-operative marginal reflex distance 1 (MRD1) when conducting Mueller’s muscle-conjunctiva resection (MMCR) on the normal eyelid of thyroid eye disease (TED) patients with unilateral eyelid retraction. Methods: This was a retrospective non-comparative case series. Medical records of TED patients with unilateral eyelid retraction, who underwent a contralateral MMCR from November 2015 to September 2017, were reviewed. Standard photographs of pre-operative, post-phenylephrine test and post-operative were measured for eyelid positions including MRD1, MRD2 and inter-palpebral fissure width. MMCR was indicated on the contralateral eyelid only in patients who had a cosmetically acceptable result from phenylephrine test and were willing to receive the operation on the normal eye. Results: Twelve TED patients who underwent MMCR on the normal eyelid were included in the study. Mean pre-operative MRD1 of retracted and normal eyelid were 5.7 mm (SD = 0.86) and 3.5 mm (SD = 0.65), respectively. Mean post-operative MRD1 of retracted and normal eyelid were 4.4 mm (SD = 0.76) and 4.1 mm (SD = 0.46), respectively. The asymmetry of MRD1 between eyes was significantly decreased from 2.1 mm (inter-quartile range (IQR) = 1.5–2.9 mm) pre-operatively to 0.3 mm (IQR = 0.1–0.7 mm) post-operatively (p =.002). None of these patients needed further eyelid correction surgery and there was no complication. Conclusions: In TED patients with unilateral eyelid retraction, using phenylephrine test on their normal eyes should be initiated. If eyelid position was satisfactorily equalized, performing MMCR on the normal eyelid is considered an effective alternative treatment with a predictable outcome. © 2019, © 2019 Taylor & Francis Group, LLC.",Orbit (London),"{'ISSN': '01676830', 'Source Type': 'ORBTD', 'Original Language': 'Journal'}","{'Document Type': '10.1080/01676830.2019.1619184', 'Publisher': '31162982'}","['Eyelid retraction', 'Hering’s phenomenon', 'marginal reflex distance', 'Mueller’s muscle-conjunctiva resection', 'phenylephrine test', 'thyroid eye disease', 'dexamethasone plus tobramycin', 'phenylephrine', 'adult', 'Article', 'case control study', 'clinical article', 'contralateral mueller muscle conjunctiva resection', 'disease severity', 'endocrine ophthalmopathy', 'eyelid', 'eyelid reconstruction', 'eyelid retraction', 'female', 'follow up', 'Graves disease', 'human', 'male', 'middle aged', 'preoperative care', 'retrospective study', 'surgical technique', 'treatment duration', 'young adult', 'conjunctiva', 'endocrine ophthalmopathy', 'extraocular muscle', 'eyelid disease', 'eyelid reconstruction', 'procedures', 'Adult', 'Blepharoplasty', 'Conjunctiva', 'Eyelid Diseases', 'Female', 'Graves Ophthalmopathy', 'Humans', 'Male', 'Middle Aged', 'Oculomotor Muscles', 'Retrospective Studies']","['Department of Ophthalmology, Faculty of Medicine, King Chulalongkorn Memorial Hospital, The Thai Red Cross Society, Chulalongkorn University, Bangkok, Thailand']",[]
The Microbiota-Gut-Immune-Glia (MGIG) Axis in Major Depression(Review),"['Rudzki, L.', 'Maes, M.']","Volume 57, Issue 10, 1 October 2020, Pages 4269-4295","There is robust evidence that major depression (MDD) is accompanied by a low-grade activation of the immune-inflammatory response system, which is involved in the pathophysiology of this disorder. It is also becoming apparent that glia cells are in reciprocal communication with neurons, orchestrate various neuromodulatory, homeostatic, metabolic, and immune mechanisms, and have a crucial role in neuroinflammatory mechanisms in MDD. Those cells mediate the central nervous system (CNS) response to systemic inflammation and psychological stress, but at the same time, they may be an origin of the inflammatory response in the CNS. The sources of activation of the inflammatory response in MDD are immense; however, in recent years, it is becoming increasingly evident that the gastrointestinal tract with gut-associated lymphoid tissue (GALT) and increased intestinal permeability to bacterial LPS and food-derived antigens contribute to activation of low-grade inflammatory response with subsequent psychiatric manifestations. Furthermore, an excessive permeability to gut-derived antigenic material may lead to subsequent autoimmunities which are also known to be comorbid with MDD. In this review, we discuss fascinating interactions between the gastrointestinal tract, increased intestinal permeability, intestinal microbiota, and glia-neuron cross talk, and their roles in the pathogenesis of the inflammatory hypothesis of MDD. To emphasize those crucial intercommunications for the brain functions, we propose the term of microbiota-gut-immune-glia (MGIG) axis. © 2020, Springer Science+Business Media, LLC, part of Springer Nature.",Molecular Neurobiology,"{'ISSN': '08937648', 'Source Type': 'MONBE', 'Original Language': 'Journal'}","{'Document Type': '10.1007/s12035-020-01961-y', 'Publisher': '32700250'}","['Astrocytes', 'Autoimmunity', 'Cytokines', 'Depression', 'Glia', 'Leaky gut', 'LPS', 'Microbiota', 'Microglia', 'Neurodegeneration', 'Neuroimmunomodulation', 'Oxidative stress', 'aromatic hydrocarbon receptor', 'kynurenine', 'serotonin', 'toll like receptor 4', 'autoimmunity', 'blood brain barrier', 'cell function', 'cell interaction', 'cell maturation', 'degenerative disease', 'evidence based medicine', 'glia', 'human', 'intestine flora', 'intestine mucosa permeability', 'major depression', 'medical parameters', 'mental stress', 'microbiota gut immune glia axis', 'myelination', 'nonhuman', 'oligodendroglia', 'pathogenesis', 'protein expression', 'Review', 'symptom', 'animal', 'immunology', 'major depression', 'microbiology', 'nerve cell', 'pathology', 'Animals', 'Autoimmunity', 'Depressive Disorder, Major', 'Gastrointestinal Microbiome', 'Humans', 'Neurodegenerative Diseases', 'Neuroglia', 'Neurons']","['aThe Charleston Centre, 49 Neilston Road, Paisley, PA2 6LY, United Kingdom', 'bDepartment of Psychiatry, Medical University of Bialystok, Białystok, Poland', 'cDepartment of Psychiatry, Faculty of Medicine, Chulalongkorn University, Bangkok, Thailand', 'dDepartment of Psychiatry, Medical University of Plovdiv, Plovdiv, Bulgaria', 'eIMPACT Strategic Research Center, Deakin University, Geelong, Australia']",[]
Orbitocranial Fibrous Dysplasia: Immediate Reconstruction with Titanium 3-dimensional Printing(Article)(Open Access),"['Pruksapong, C.', 'Lohwongwatana, B.']","Volume 8, Issue 9, 21 September 2020, Page E3114","We present the case of an 18-year-old man who was referred to our department with a suspected tumor in the right orbital region, which caused exophthalmos due to its pressure effect. Preoperative CT imaging revealed an expansile ground-glass appearance of bone mass, with sclerotic bone on the right frontal bone (right superior orbital wall). There was no orbital mass and no enlargement of the extraocular muscles and tendons; the retrobulbar fat and optic nerve appeared unremarkable. A preoperative tissue biopsy confirmed the FD. Complete tumor removal was performed via the right hemicoronal approach. The orbital roof and temporal bone defect were immediately reconstructed using the 3-dimensional titanium printing plate. © 2020 Lippincott Williams and Wilkins. All rights reserved.",Plastic and Reconstructive Surgery - Global Open,"{'ISSN': '21697574', 'Source Type': 'Journal', 'Original Language': 'English'}","{'Document Type': '10.1097/GOX.0000000000003114', 'Publisher': 'Article'}",[],"['aDivision of Plastic and Reconstructive Surgery, Department of Surgery, Phramongkutklao Hospital and College of Medicine, Bangkok, Thailand', 'bAdvanced Materials Analysis Research Unit, Department of Metallurgical Engineering, Faculty of Engineering, Chulalongkorn University, Bangkok, Thailand', 'cBiomedical Engineering Research Center, Meticuly Co. Ltd., Chulalongkorn University, Bangkok, Thailand']",[]
Novel natural rubber composites based on silver nanoparticles and carbon nanotubes hybrid filler(Article),"['Krainoi, A.', 'Kummerlöwe, C.', 'Nakaramontri, Y.', 'Wisunthorn, S.', 'Vennemann, N.', 'Pichaiyut, S.', 'Kiatkamjornwong, S.', 'Nakason, C.']","Volume 41, Issue 2, 1 February 2020, Pages 443-458","Hybrid filler of carbon nanotubes (CNT) and silver nanoparticles (AgNP) was prepared and then mixed with natural rubber (NR) with CNT:AgNP ratio = 100:1. The AgNP was first synthesized by reacting silver nitrate with sodium citrate as a reducing agent in an aqueous solution. Then, the UV-vis spectrometry and transmission emission microscopy were used to follow the reaction forming AgNP and the optimum reaction time was found at about 20 minutes. The latex mixing of NR and CNT-AgNP hybrid filler was eventually performed. It was also found that the CNT-AgNP hybrid filler enhanced various properties of the NR composites, including torque difference, storage modulus, and initial modulus (from temperature scanning stress relaxation test) as compared to the conventional NR-CNT composite. Furthermore, higher electrical conductivity with comparatively low percolation threshold of the hybrid composites was found as compared to the NR-CNT composite. This might be due to decoration of AgNP particles on CNT surfaces or between CNT bundles caused hindering CNT agglomeration and facilitating electron tunneling. Also, CNT network formation the NR hybrid composite was stronger than in the NR-CNT composite. Furthermore, strong infinite CNT network formation increased thermal diffusion in the NR-CNT/AgNP hybrid composite. © 2019 Society of Plastics Engineers",Polymer Composites,"{'ISSN': '02728397', 'Source Type': 'PCOMD', 'Original Language': 'Journal'}","{'Document Type': '10.1002/pc.25378', 'Publisher': 'Article'}","['carbon nanotubes', 'electrical properties', 'nanocomposites', 'silver nanoparticle', 'Electric properties', 'Electron tunneling', 'Fillers', 'Metal nanoparticles', 'Nanocomposites', 'Rubber', 'Silver nanoparticles', 'Sodium compounds', 'Solvents', 'Stress relaxation', 'Testing', 'Electrical conductivity', 'Emission microscopy', 'Hybrid composites', 'Natural rubber composites', 'Optimum reaction', 'Percolation thresholds', 'Temperature scanning stress relaxations', 'UV-Vis spectrometry', 'Carbon nanotubes']","['aFaculty of Science and Industrial Technology, Prince of Songkla University, Surat Thani Campus, Surat Thani, Thailand', 'bFaculty of Engineering and Computer Science, University of Applied Sciences Osnabrück, Osnabrück, Germany', 'cFaculty of Science, Chulalongkorn University, Bangkok, Thailand']","[{'Funding Sponsor': 'Thailand Research Fund', 'Funding Number': 'PHD/0209/2557', 'Acronym': 'TRF'}, {'Funding Sponsor': 'Prince of Songkla University', 'Funding Number': '', 'Acronym': 'PSU'}, {'Funding Sponsor': 'Rubber Research and Development Institute', 'Funding Number': 'DPG6080001,SIT591146S', 'Acronym': ''}]"
Host proteome linked to HPV E7-mediated specific gene hypermethylation in cancer pathways(Article)(Open Access),"['Na Rangsee, N.', 'Yanatatsaneejit, P.', 'Pisitkun, T.', 'Somparn, P.', 'Jintaridth, P.', 'Topanurak, S.']","Volume 15, Issue 1, 3 February 2020, Article number 7","Background: Human papillomavirus (HPV) infection causes around 90% of cervical cancer cases, and cervical cancer is a leading cause of female mortality worldwide. HPV-derived oncoprotein E7 participates in cervical carcinogenesis by inducing aberrant host DNA methylation. However, the targeting specificity of E7 methylation of host genes is not fully understood but is important in the down-regulation of crucial proteins of the hallmark cancer pathways. In this study, we aim to link E7-driven aberrations in the host proteome to corresponding gene promoter hypermethylation events in the hope of providing novel therapeutic targets and biomarkers to indicate the progression of cervical cancer. Methods: HEK293 cells were transfected with pcDNA3.1-E7 plasmid and empty vector and subjected to mass spectrometry-based proteomic analysis. Down-regulated proteins (where relative abundance was determined significant by paired T-test) relevant to cancer pathways were selected as gene candidates for mRNA transcript abundance measurement by qPCR and expression compared with that in SiHa cells (HPV type 16 positive). Methylation Specific PCR was used to determine promoter hypermethylation in genes downregulated in both SiHa and transfected HEK293 cell lines. The FunRich and STRING databases were used for identification of potential regulatory transcription factors and the proteins interacting with transcription factor gene candidates, respectively. Results: Approximately 400 proteins totally were identified in proteomics analysis. The transcripts of six genes involved in the host immune response and cell proliferation (PTMS, C1QBP, BCAP31, CDKN2A, ZMYM6 and HIST1H1D) were down-regulated, corresponding to proteomic results. Methylation assays showed four gene promoters (PTMS, C1QBP, BCAP31 and CDKN2A) were hypermethylated with 61, 55.5, 70 and 78% increased methylation, respectively. Those four genes can be regulated by the GA-binding protein alpha chain, specificity protein 1 and ETS-like protein-1 transcription factors, as identified from FunRich database predictions. Conclusions: HPV E7 altered the HEK293 proteome, particularly with respect to proteins involved in cell proliferation and host immunity. Down-regulation of these proteins appears to be partly mediated via host DNA methylation. E7 possibly complexes with the transcription factors of its targeting genes and DNMT1, allowing methylation of specific target gene promoters. © 2020 The Author(s).",Infectious Agents and Cancer,"{'ISSN': '17509378', 'Source Type': 'Journal', 'Original Language': 'English'}","{'Document Type': '10.1186/s13027-020-0271-4', 'Publisher': 'Article'}","['Cervical cancer', 'DNA methylation', 'Epigenetics', 'Human papilloma virus', 'Proteomics', 'Viral oncoproteins', 'B lymphocyte receptor', 'biological marker', 'complement component C1q', 'cyclin dependent kinase inhibitor 2A', 'GA binding protein', 'histone H1', 'messenger RNA', 'parathymosin', 'protein E7', 'proteome', 'transcription factor Sp1', 'zinc finger protein', 'Article', 'BCAP31 gene', 'C1QBP gene', 'cancer growth', 'CDKN2A gene', 'cell proliferation', 'controlled study', 'DNA methylation', 'DNA methylation assay', 'DNA vector', 'down regulation', 'embryo', 'epigenetics', 'female', 'gene expression regulation', 'gene targeting', 'genetic transcription', 'genetic transfection', 'HEK293 cell line', 'HIST1H1D gene', 'human', 'human cell', 'immune response', 'immune-related gene', 'immunity', 'mass spectrometry', 'nonhuman', 'plasmid', 'prediction', 'priority journal', 'promoter region', 'protein interaction', 'proteomics', 'PTMS gene', 'real time polymerase chain reaction', 'signal transduction', 'SiHa cell line', 'uterine cervix cancer', 'Wart virus', 'ZMYM6 gene']","['aDepartment of Molecular Tropical Medicine and Genetics, Faculty of Tropical Medicine, Mahidol University, Bangkok, 10400, Thailand', 'bDepartment of Botany, Faculty of Science, Chulalongkorn University, Bangkok, 10330, Thailand', 'cCenter of Excellence in Systems Biology, Faculty of Medicine, Chulalongkorn University, Bangkok, 10330, Thailand', 'dCenter of Excellence in Immunology and Immune-mediated Diseases, Department of Microbiology, Faculty of Medicine, Chulalongkorn University, Bangkok, 10330, Thailand', 'eDepartment of Tropical Nutrition and Food Science, Faculty of Tropical Medicine, Mahidol University, Bangkok, 10400, Thailand']",[]
"Effect of shrimp shell chitosan loading on antimicrobial, absorption and morphological properties of natural rubber composites reinforced with silica-chitosan hybrid filler(Article)(Open Access)","['Injorhor, P.', 'Ruksakulpiwat, Y.', 'Ruksakulpiwat, C.']","Volume 10, Issue 3, 15 June 2020, Pages 5656-5659","The natural rubber composites reinforced with hybrid filler between silica from rice husk and chitosan from shrimp shell were prepared by a latex solution method. The amount of shrimp shell chitosan was varied as 0, 3, 5, and 10phr with a constant amount of rice husk silica at 10phr. The natural rubber composites with hybrid filler were prepared before mixing with vulcanizing agents using conventional curing system. The antimicrobial, absorption, and morphological properties of the natural rubber composite films and cured composites were investigated by the Agar Diffusion Method, Water Absorption Test and Scanning Electron Microscopy (SEM), respectively. Using 5phr of chitosan shows the optimum properties for used as filler incorporated with silica in natural rubber composites for medical applications. © 2020 by the authors.",Biointerface Research in Applied Chemistry,"{'ISSN': '20695837', 'Source Type': 'Journal', 'Original Language': 'English'}","{'Document Type': '10.33263/BRIAC103.656659', 'Publisher': 'Article'}","['Antimicrobial activity', 'Hybrid filler', 'Morphological properties', 'Natural rubber composites', 'Rice husk silica', 'Shrimp shell chitosan', 'Water absorption']","['aSchool of Polymer Engineering, Institute of Engineering, Suranaree University of Technology, Mueang, Nakhon Ratchasima, 30000, Thailand', 'bCenter of Excellence on Petrochemical and Materials Technology, Chulalongkorn University, Bangkok, 10330, Thailand']",[]
