title,authors,article_info,abstract,categories/keyword,citation_info,document_info,author_tags,affiliations,funding
Evaluation of phenolic antioxidant capacity in beverages based on laccase immobilized on screen-printed carbon electrode modified with graphene nanoplatelets and gold nanoparticles(Article),"['Zrinski, I.', 'Pungjunun, K.', 'Martinez, S.', 'Zavašnik, J.', 'Stanković, D.', 'Kalcher, K.', 'Mehmeti, E.']","Volume 152, January 2020, Article number 104282","A simple and highly sensitive electrochemical biosensor based on laccase immobilized onto a gold nanoparticles/graphene nanoplatelets-modified screen-printed carbon electrode (LACC/AuNP/GNPl/SPCE) was developed for the determination of hydroquinone (HQ) and other phenolic compounds. The biosensor shows excellent electro-catalytic activity towards oxidation of hydroquinone at a potential of -0.05 V (vs Ag/AgCl, 3 M KCl) in phosphate buffer as supporting electrolyte (0.1 M, pH 7.0) using hydrodynamic amperometry. Analytical characteristics uncover that the LACC/AuNP/GNPl/SPCE comprises a wide linear range for the dependence of the signal on HQ concentrations from 4 to 130 µM with a detection limit (3σ) of 1.5 µM. The repeatability (5 measurements, 100 µM hydroquinone) is ±2% and the reproducibility (5 biosensors, 100 µM hydroquinone) is ±3%. Interference studies of most common compounds with the determination of hydroquinone demonstrated negligible effects. Finally, the biosensor and the analytical method were applied to the determination of phenolic antioxidant capacity (AOC) in wine and blueberry syrup based on Trolox (6‑hydroxy‑2,5,7,8-tetramethylchromane-2-carboxylic acid) and hydroquinone equivalents. The results were evaluated by using their calibration curves which were satisfactory and agreed well with the results obtained by the reference method Trolox Equivalent Antioxidant Capacity assay (TEAC-Assay). © 2019 Elsevier B.V.",Microchemical Journal,"{'ISSN': '0026265X', 'Source Type': 'MICJA', 'Original Language': 'Journal'}","{'Document Type': '10.1016/j.microc.2019.104282', 'Publisher': 'Article'}","['Antioxidants', 'Biosensors', 'Graphene nanoparticles', 'UV/Vis spectrophotometry']","['aUniversity of Zagreb, Department of Electrochemistry, Faculty of Chemical Engineering and Technology, Marulićev Trg 19, Zagreb, 10000, Croatia', 'bElectrochemistry and Optical Spectroscopy Center of Excellence (EOSCE), Department of Chemistry, Faculty of Science, Chulalongkorn University, 254 Phayathai Road, Pathumwan, Bangkok  10330, Thailand', 'cDepartment for Nanostructured Materials, Jožef Stefan Institute, Jamova 39, Ljubljana, 1000, Slovenia', 'd“Vinča” Institute of Nuclear Sciences, University of Belgrade, Belgrade, Serbia', 'eKarl-Franzens University of Graz, Institute of Chemistry-Analytical Chemistry, Universitätsplatz 1/I, Graz, A-8010, Austria']","[{'Funding Sponsor': '', 'Funding Number': 'ASEA 2019_Uni_Graz_1', 'Acronym': ''}, {'Funding Sponsor': '', 'Funding Number': 'CIII-CZ-0212-12-1819-M-122538', 'Acronym': ''}]"
Congenital myasthenic syndromes in the Thai population: Clinical findings and novel mutations(Article),"['Pattrakornkul, N.', 'Ittiwut, C.', 'Boonsimma, P.', 'Boonyapisit, K.', 'Khongkhatithum, C.', 'Sanmaneechai, O.', 'Suphapeetiporn, K.', 'Shotelersuk, V.']","Volume 30, Issue 10, October 2020, Pages 851-858","Congenital myasthenic syndromes (CMS) comprise a heterogeneous group of genetic disorders of the neuromuscular junction. Next generation sequencing has been increasingly used for molecular diagnosis in CMS patients. This study aimed to identify the disease-causing variants in Thai patients. We recruited patients with a diagnosis of CMS based on clinical and electrophysiologic findings, and whole exome sequencing was performed. Thirteen patients aged from 2 to 54 years (median: 8 years) from 12 families were enrolled. Variants were identified in 9 of 13 patients (69%). Five novel variants and two previously reported variant were found in the COLQ, RAPSN and CHRND gene. The previously reported c.393+1G>A splice site variant in the COLQ gene was found in a majority of patients. Five patients harbor the homozygous splice site c.393+1G>A variant, and two patients carry compound heterozygous c.393+1G>A, c.718–1G>T, and c.393+1G>A, c.865G>T (p.Gly289Ter) variants. The novel variants were also found in RAPSN (p.Cys251del, p.Arg282Cys) and CHRND (p.Met481del). Molecular diagnosis in CMS patients can guide treatment decisions and may be life changing, especially in patients with COLQ mutations. © 2020 Elsevier B.V.",Neuromuscular Disorders,"{'ISSN': '09608966', 'Source Type': 'NEDIE', 'Original Language': 'Journal'}","{'Document Type': '10.1016/j.nmd.2020.08.362', 'Publisher': '32978031'}","['COLQ', 'Myopathy', 'Neuromuscular junction', 'Novel variants', 'Whole exome sequencing', 'ephedrine', 'fluoxetine', 'pyridostigmine', 'salbutamol', 'acetylcholinesterase', 'acyl coenzyme A desaturase', 'cholinergic receptor', 'CHRND protein, human', 'collagen', 'COLQ protein, human', 'FADS2 protein, human', 'muscle protein', 'adolescent', 'adult', 'Article', 'child', 'CHRND gene', 'clinical article', 'COLQ gene', 'congenital myasthenic syndrome', 'cross-sectional study', 'descriptive research', 'DNM2 gene', 'drug withdrawal', 'electrophysiological procedures', 'eyelid reconstruction', 'female', 'gene mutation', 'heterozygote', 'homozygote', 'human', 'male', 'middle aged', 'molecular diagnosis', 'muscle hypotonia', 'muscle weakness', 'ophthalmoplegia', 'pneumonia', 'preschool child', 'priority journal', 'ptosis (eyelid)', 'RAPSN gene', 'respiratory failure', 'school child', 'scoliosis', 'Thai (people)', 'whole exome sequencing', 'young adult', 'congenital myasthenic syndrome', 'electromyography', 'genetics', 'pathophysiology', 'pedigree', 'Thailand', 'Acetylcholinesterase', 'Adolescent', 'Adult', 'Child', 'Child, Preschool', 'Collagen', 'Cross-Sectional Studies', 'Electromyography', 'Fatty Acid Desaturases', 'Humans', 'Male', 'Middle Aged', 'Muscle Proteins', 'Myasthenic Syndromes, Congenital', 'Pedigree', 'Receptors, Cholinergic', 'Thailand', 'Whole Exome Sequencing', 'Young Adult']","['aDepartment of Pediatrics, Faculty of Medicine Siriraj Hospital, Mahidol University, Bangkok, Thailand', 'bCenter of Excellence for Medical Genomics, Department of Pediatrics, Faculty of Medicine, Chulalongkorn University, Bangkok, Thailand', 'cExcellence Center for Genomics and Precision Medicine, King Chulalongkorn Memorial Hospital, the Thai Red Cross Society, Bangkok, Thailand', 'dDepartment of Medicine, Faculty of Medicine Siriraj Hospital, Mahidol University, Bangkok, Thailand', 'eDepartment of Pediatrics, Faculty of Medicine Ramathibodi Hospital, Mahidol University, Bangkok, Thailand']","[{'Funding Sponsor': 'Mayo ClinicSee opportunities', 'Funding Number': '', 'Acronym': ''}, {'Funding Sponsor': 'Thailand Research Fund', 'Funding Number': 'DPG6180001', 'Acronym': 'TRF'}, {'Funding Sponsor': 'Thailand Research Fund', 'Funding Number': '', 'Acronym': 'TRF'}, {'Funding Sponsor': 'Health Systems Research Institute', 'Funding Number': '', 'Acronym': 'HSRI'}, {'Funding Sponsor': 'Faculty of Medicine Siriraj Hospital, Mahidol University', 'Funding Number': '', 'Acronym': ''}]"
Reversible thermochromic polydiacetylene/Zn(II) ion assemblies prepared via co-assembling in aqueous phase: The essential role of pH(Article),"['Pattanatornchai, T.', 'Rueangsuwan, J.', 'Phonchai, N.', 'Traiphol, N.', 'Traiphol, R.']","Volume 594, 5 June 2020, Article number 124649","Reversible thermochromism of polydiacetylene/zinc(II) ion (PDA/Zn2+assemblies is achieved via co-assembling process in an aqueous medium. Our preparation method is quite easy compared to other previous reports. Diacetylene monomer, 1012-pentacosadiynoic acid PCDA, and ZnCl2are simply mixed in water followed by an incubation in a refrigerator and then UV light irradiation. The resultant assemblies prepared using normal conditions (pH 6.5) exhibits partially reversible themochromism. Hydroxide ion (OH−) is a key component for promoting strong interaction between PCDA carboxylate headgroup and Zn2+ions during the self-assembling process. We have found that increasing the pH above 8 yields fully reversible thermochromism. The reversible blue-to-purple color transition occurs at about 75 °C. X-ray diffraction reveals the Zn2+-intercalated bilayer structure while infrared spectroscopy probes strong interactions within the assemblies. The PCDA/Zn2+mole ratio is also a very important parameter for achieving reversible thermochromism. An ability to prepare the PDA/Zn2+assemblies in aqueous suspension allows the fabrication of solid-state colorimetric sensors by drop-casting on a glass slide, writing on a paper or incorporating into a polyvinylalcohol film. The reversible color-transition temperature can be tuned to about 40 °C by shortening the alkyl chain of constituent PDA. Our new approach for preparing the reversible thermochromic PDA-based materials is quite easy and can be utilized for large scale production of colorimetric sensor, smart ink or paint. © 2020 Elsevier B.V.",Colloids and Surfaces A: Physicochemical and Engineering Aspects,"{'ISSN': '09277757', 'Source Type': 'CPEAE', 'Original Language': 'Journal'}","{'Document Type': '10.1016/j.colsurfa.2020.124649', 'Publisher': 'Article'}","['Colorimetric sensor', 'Intercalation', 'Polydiacetylene', 'Reversible thermochromism', 'Self-assembling', 'Carboxylation', 'Chlorine compounds', 'Color', 'Infrared spectroscopy', 'Intercalation', 'Ions', 'Polyacetylenes', 'Solid-state sensors', 'Suspensions (fluids)', 'Zinc chloride', 'Aqueous suspensions', 'Colorimetric sensors', 'Large scale productions', 'Polydiacetylenes', 'Self-assembling', 'Self-assembling process', 'Thermochromism', 'UV-light irradiation', 'Colorimetry', 'acetylene', 'carboxylic acid', 'hydroxide', 'monomer', 'polydiacetylene', 'polyvinyl alcohol', 'unclassified drug', 'zinc ion', 'aqueous solution', 'Article', 'chemical analysis', 'chemical interaction', 'color', 'comparative study', 'incubation time', 'infrared spectroscopy', 'large scale production', 'light related phenomena', 'material state', 'pH', 'priority journal', 'reversible thermochromism', 'structure analysis', 'ultraviolet irradiation', 'ultraviolet radiation', 'X ray diffraction']","['aDivision of Chemistry, Faculty of Science and Technology, Nakhon Sawan Rajabhat University, Nakhon Sawan, 60000, Thailand', 'bLaboratory of Advanced Polymer and Nanomaterials, School of Materials Science and Innovation, Faculty of Science, Mahidol University at Salaya, Phuttamonthon 4 Road, Nakorn Pathom, 73170, Thailand', 'cLaboratory of Advanced Chromic Materials, Department of Materials Science, Faculty of Science, Chulalongkorn University, Bangkok, 10300, Thailand', 'dCenter of Excellence on Petrochemical and Materials Technology, Chulalongkorn University, Bangkok, 10330, Thailand', 'eNANOTEC-MU Center of Excellence on Nano-materials and Intelligence Systems, Nano Composite, Nanosensor and Nanoelectronics, Faculty of Science, Mahidol University, Rama 6 Road, Ratchathewi, Bangkok, 10400, Thailand', 'fNANOTEC-CU Center of Excellence on Food and Agriculture, Department of Chemistry, Faculty of Science, Chulalongkorn University, Bangkok, 10330, Thailand']","[{'Funding Sponsor': 'Mahidol University', 'Funding Number': 'BRG6080008', 'Acronym': 'MU'}, {'Funding Sponsor': 'Mahidol University', 'Funding Number': '', 'Acronym': 'MU'}, {'Funding Sponsor': 'National Science and Technology Development Agency', 'Funding Number': '', 'Acronym': 'สวทช'}, {'Funding Sponsor': 'Thailand Research Fund', 'Funding Number': '', 'Acronym': 'TRF'}, {'Funding Sponsor': 'National Nanotechnology Center', 'Funding Number': '', 'Acronym': 'NANOTEC'}, {'Funding Sponsor': 'Ministry of Science and Technology of Thailand', 'Funding Number': '', 'Acronym': 'MOST'}]"
An architecture for game to game data transfer using blockchain(Conference Paper),"['Yaklai, C.', 'Kotrajaras, V.']","4 November 2020, Article number 09268250, Pages 75-79","Blockchain has been used in several industries, especially in the financial area. In the game industry, blockchain has not been utilized much even with a large number of users who deserve to own their game data. There were attempts to allow players to own their in-game objects or data. But they were mostly crowdfunding platforms which were not yet in operation. In addition, users were required to use their ecosystem. In this paper, we propose a generic game architecture, using blockchain, that allows players to own their ""spent time"" in a game. The value of this spent time can be passed on to new games as ERC20 token on the Ethereum network and redeemed in such games. Our architecture can be used with any public blockchain. It can benefit many roles such as player, blockchain node, and game developer. Our experiment shows that the proposed architecture can be accepted by players, but other factors such as the type of gameplay and how the spent time is exchanged in a game can greatly affect the player acceptance. Copyright © JCSSE 2020 - 17th International Joint Conf. on Computer Science and Software Engineering.",,"{'ISSN': '978-172816167-9', 'Source Type': 'Conference Proceeding', 'Original Language': 'English'}","{'Document Type': '10.1109/JCSSE49651.2020.9268250', 'Publisher': 'Conference Paper'}","['Blockchain component', 'Game architecture', 'Smart contract', 'Transaction queue', 'Computer games', 'Crowdsourcing', 'Data transfer', 'Network architecture', 'Software engineering', 'Block-chain', 'Blockchain component', 'Game architecture', 'Game industry', 'Gameplay', 'Proposed architectures', 'Transaction queue', 'Smart contract']","['Department of Computer Engineering, Faculty ofEngineering, Chulalongkorn University, Bangkok, Thailand']",[]
Neuroprotective Properties of Green Tea (Camellia sinensis) in Parkinson’s Disease: A Review(Review)(Open Access),"['Malar, D.S.', 'Prasanth, M.I.', 'Brimson, J.M.', 'Sharika, R.', 'Sivamaruthi, B.S.', 'Chaiyasut, C.', 'Tencomnao, T.']","Volume 25, Issue 17, September 2020, Article number 3926","Neurodegenerative disease is a collective term given for the clinical condition, which results in progressive degeneration of neurons and the loss of functions associated with the affected brain region. Apart from the increase in age, neurodegenerative diseases are also partly affected by diet and lifestyle practices. Parkinson’s disease (PD) is a slow onset neurodegenerative disorder and the second most common neurodegenerative disease, which affects the motor system. Although there is no prescribed treatment method to prevent and cure PD, clinical procedures help manage the disease symptoms. Green tea polyphenols are known for several health benefits, including antioxidant, anti-inflammatory, and neuroprotective activity. The current manuscript summarizes the possible mechanisms of neuroprotective potential of green tea with a special focus on PD. Studies have suggested that the consumption of green tea protects against free-radicals, inflammation, and neuro-damages. Several in vivo studies aid in understanding the overall mechanism of green tea. However, the same dose may not be sufficient in humans to elicit similar effects due to complex physiological, social, and cultural development. Future research focused on more clinical trials could identify an optimum dose that could impart maximum health benefits to impart neuroprotection in PD. © 2020 by the authors.",Molecules,"{'ISSN': '14203049', 'Source Type': 'MOLEF', 'Original Language': 'Journal'}","{'Document Type': '10.3390/molecules25173926', 'Publisher': '32867388'}","['Green tea', 'Neurodegenerative diseases', 'Neuroprotection', 'Parkinson’s disease', 'Polyphenols', 'antiinflammatory agent', 'antioxidant', 'neuroprotective agent', 'polyphenol', 'animal', 'drug effect', 'human', 'mouse', 'neuroprotection', 'oxidative stress', 'Parkinson disease', 'tea', 'Animals', 'Anti-Inflammatory Agents', 'Antioxidants', 'Humans', 'Mice', 'Neuroprotection', 'Neuroprotective Agents', 'Oxidative Stress', 'Parkinson Disease', 'Polyphenols', 'Tea']","['aAge-Related Inflammation and Degeneration Research Unit, Department of Clinical Chemistry, Faculty of Allied Health Sciences, Chulalongkorn University, Bangkok, 10330, Thailand', 'b309, Vrinda, 10th Cross, Railway Layout, Vijayanagar 2nd Stage, Mysuru, Karnataka  570016, India', 'cInnovation Center for Holistic Health, Nutraceuticals and Cosmeceuticals, Faculty of Pharmacy, Chiang Mai University, Chiang Mai, 50200, Thailand']","[{'Funding Sponsor': 'Chiang Mai University', 'Funding Number': '', 'Acronym': 'CMU'}, {'Funding Sponsor': 'Chulalongkorn University', 'Funding Number': '', 'Acronym': 'CU'}]"
Improvement The Properties Of Poly(L-Lactide) Films With Cellulose Fiber From Rice Straw Waste In Agricultural Products(Article)(Open Access),"['Banthao, C.', 'Kumpolsan, P.', 'Baimark, Y.', 'Wongkasemjit, S.', 'Pakkethati, K.']","Volume 18, Issue 70, 2020, Pages 43-48","The poly(L-lactide) films properties were improved by using cellulose from rice straw. The cellulose was extracted by hydrolysis method and that was confirmed the property by using Fourier transforms infrared spectroscopy (FT-IR). The sample films were prepared by mixing poly(L-lactide) with cellulose at different weight ratios (100/0, 98/2, 96/4, 94/6, 92/8, 90/10). Physical, mechanical and thermal properties of the films were analyzed by X-Ray diffraction (XRD), Scanning Electron Microscope (SEM), Thermogravimetric Analysis (TGA) and Tensile testing. It was found that after increasing the concentration of the cellulose to 2 %wt, the tensile strength increases from 24.949 to 37.108 MPa and Young's Modulus slightly increase from 0.112 to 0.189 GPa. The thermal stability of the sample films increased slightly. These results showed that cellulose from rice straw was enhanced to develop the thermal and mechanical properties of poly(L-lactide) film. The water uptake increased with the addition of cellulose. © 2020. International Journal of GEOMATE. All Rights Reserved.",International Journal of GEOMATE,"{'ISSN': '21862982', 'Source Type': 'Journal', 'Original Language': 'English'}","{'Document Type': '10.21660/2020.70.5716', 'Publisher': 'Article'}","['Cellulose fiber', 'Poly(L-lactide)', 'Rice straw']","['aDepartment of chemistry, Faculty of Science, Mahasarakham University, Mahasarakham, 44150, Thailand', 'bThe Petroleum and Petrochemical College and the National Center of Excellence for Petroleum, Petrochemicals and Advanced Materials, Chulalongkorn University, Bangkok, 10330, Thailand']","[{'Funding Sponsor': 'Thailand Research Fund', 'Funding Number': '', 'Acronym': 'TRF'}, {'Funding Sponsor': 'Mahasarakham University', 'Funding Number': '', 'Acronym': 'MSU'}]"
Predictors and level of knowledge regarding Parkinson's disease among patients: A cross-sectional study from Thailand(Article)(Open Access),"['Viwattanakulvanid, P.', 'Somrongthong, R.', 'Vankwani, M.', 'Kavita, F.', 'Kumar, R.']","Volume 11, Issue 1, 1 January 2020, Article number 25","Background: Parkinson's disease (PD) is a neurodegenerative disorder that results in gradual decline of motor, autonomic, and neuropsychiatric functions of the patient. Knowledge and factors responsible for Parkinson's disease (PD) are important among patients that could positively affect their attitude and perceptions. This study was conducted to determine the factors influencing and level of the knowledge regarding Parkinson's disease in Thailand. Methods: This cross-sectional study was conducted on 125 patients admitted in King Chulalongkorn Memorial Hospital Bangkok, Thailand. Sociodemographic variables and clinical characteristics were collected as predictors of knowledge, treatment, and self-care for PD. A validated, piloted, pretested tool was used for data collection. Multiple linear regressions were used to find the most influencing predictor of knowledge about PD. The study was approved by the Ethical Board of Chulalongkorn University, Thailand. Results: The level of education was found to be the most significant (P = 0.005) predictor of PD knowledge. PD patients with high education had significantly higher knowledge scores than those with low education in all aspects of disease (P = 0.041), treatment (P = 0.014), and self-care (P = 0.011). PD knowledge was poor in variables such as levodopa (62%), nonmotor symptoms (54%), and stem cell transplantation (40%), respectively. Conclusion: The study results conclude that educational level is the most important predictor of knowledge about Parkinson's disease. © 2020 BMJ Publishing Group. All rights reserved.",International Journal of Preventive Medicine,"{'ISSN': '20087802', 'Source Type': 'Journal', 'Original Language': 'English'}","{'Document Type': '10.4103/ijpvm.IJPVM_221_19', 'Publisher': 'Article'}","['Awareness', 'cure', 'education', 'knowledge level', 'misconception and determinants of Parkinson', 'motor disease awareness', ""Parkinson's disease"", 'levodopa', 'adult', 'Article', 'auditory hallucination', 'cross-sectional study', 'dementia', 'disease duration', 'educational status', 'employment', 'female', 'food drug interaction', 'human', 'income', 'knowledge', 'major clinical study', 'male', 'middle aged', 'Mini Mental State Examination', 'Parkinson disease', 'patient attitude', 'protein intake', 'self care', 'stem cell transplantation', 'symptom', 'Thailand', 'unemployment', 'visual hallucination']","['aCollege of Public Health Sciences, Chulalongkorn University, Bangkok, Thailand', 'bSecond Year MBBS, Dow International Medical College Karachi, Pakistan', 'cCivil Hospital, Mirpurkhas, Sindh, Pakistan', 'dHealth Services Academy, Islamabad, Pakistan']",[]
Shape memory polymers from bio-based benzoxazine/epoxidized natural oil copolymers(Article),"['Hombunma, P.', 'Parnklang, T.', 'Mora, P.', 'Jubsilp, C.', 'Rimdusit, S.']","Volume 29, Issue 1, 2020, Article number 015036","In this research, shape memory polymers (SMPs) fabricated from bio-based benzoxazine resins, i.e. vanillin-furfurylamine-containing benzoxazine (V-fa) and eugenol-furfurylamine-containing benzoxazine (E-fa) resins, and bio-based epoxy resin, i.e. epoxidized castor oil (ECO), are investigated. Effects of ECO mass concentrations on curing characteristics, thermal stability, dynamic mechanical properties, and shape memory properties are determined by differential scanning calorimetry, thermogravimetric analysis, dynamic mechanical analysis, and shape memory tests, respectively. Storage moduli at the glassy state and glass transition temperatures (Tg) of V-fa/ECO and E-fa/ECO copolymers decrease with increasing ECO mass concentrations. The bending tests performed with a universal testing machine are employed to evaluate the shape memory properties of the developed bio-based copolymers. V-fa/ECO SMPs show excellent shape fixity of 86%-94% at room temperature and high shape recovery at Tg+ 20 °C of 81%-96%. V-fa/ECO SMPs can undergo fold-deploy shape memory cycles without altering the shape memory performances for at least 5 cycles. Good balance between shape memory performances and thermo-mechanical properties in the V-fa/ECO copolymer system is obtained when ECO mass concentration is 40% (w/w). © 2019 IOP Publishing Ltd.",Smart Materials and Structures,"{'ISSN': '09641726', 'Source Type': 'SMSTE', 'Original Language': 'Journal'}","{'Document Type': '10.1088/1361-665X/ab49e5', 'Publisher': 'Article'}","['biopolymers', 'polybenzoxazine', 'renewable materials', 'shape memory polymers', 'smart materials', 'vanillin', 'Bending tests', 'Biopolymers', 'Dielectric materials', 'Differential scanning calorimetry', 'Dynamics', 'Epoxy resins', 'Glass', 'Glass transition', 'Intelligent materials', 'Shape optimization', 'Smart Polymers', 'Thermogravimetric analysis', 'Curing characteristics', 'Dynamic mechanical property', 'Polybenzoxazine', 'Renewable materials', 'Shape-memory properties', 'Thermomechanical properties', 'Universal testing machines', 'vanillin', 'Shape-memory polymer']","['aPolymer Engineering Laboratory, Department of Chemical Engineering, Faculty of Engineering, Chulalongkorn University, Bangkok, 10330, Thailand', 'bDepartment of Chemical Engineering, Faculty of Engineering, Srinakharinwirot University, Nakhon Nayok, 26120, Thailand', 'cResearch Network NANOTEC-CU on Advanced Structural and Functional Nanomaterials, Chulalongkorn University, Bangkok, 10330, Thailand']",[]
An LMDI decomposition analysis of carbon emissions in the Thai manufacturing sector(Conference Paper)(Open Access),"['Chontanawat, J.', 'Wiboonchutikula, P.', 'Buddhivanich, A.']","Volume 6, February 2020, Pages 705-710","During the last two decades CO2emissions increased rapidly along with the growth of production and energy use in the industrial sector in Thailand. We use the Logarithmic Mean Divisia Index (LMDI) method to decompose the source of changes of CO2emission level and CO2emission intensity of the sector for the period 2005–2017. The results show that during this period, on average the amount of CO2emissions and the CO2emission intensity increased annually. The structural change effect helped reduce both the amount of CO2emissions and the emission intensity. However, the increased energy intensity of individual industries led to an increase in the amount of CO2emission and CO2emission intensity. The study thus calls for policies to reduce energy intensity of firms in the manufacturing sectors in order for Thailand to benefit from industrial growth without having to incur greater polluting emissions. © 2019",Energy Reports,"{'ISSN': '23524847', 'Source Type': 'Journal', 'Original Language': 'English'}","{'Document Type': '10.1016/j.egyr.2019.09.053', 'Publisher': 'Conference Paper'}","['CO2emissions', 'LMDI decomposition', 'Manufacturing industries', 'Thailand', 'Carbon', 'Carbon dioxide', 'Energy utilization', 'Manufacture', 'CO2 emissions', 'Decomposition analysis', 'Emission intensity', 'Industrial sector', 'Manufacturing industries', 'Manufacturing sector', 'Polluting emission', 'Thailand', 'Industrial emissions']","[""aDepartment of Social Sciences and Humanities, School of Liberal Arts, King Mongkut's University of Technology Thonburi, 126 Prachu-Uthit Rd.Thungkru, Bangkok, 10140, Thailand"", 'bFaculty of Economics, Chulalongkorn University, 254 Phayathai RdPathumwan, Bangkok, 10330, Thailand', 'cIron and Steel Institute of Thailand, 1st-2nd Fl., Bureau of Industrial Sectors Development, Soi Trimitr, Rama IV Road, Prakanong, Klong-Toey, Bangkok, 10110, Thailand']","[{'Funding Sponsor': 'School of Liberal Arts', 'Funding Number': '2562102', 'Acronym': 'SLA'}, {'Funding Sponsor': 'Chulalongkorn University', 'Funding Number': '', 'Acronym': 'CU'}, {'Funding Sponsor': ""King Mongkut's University of Technology Thonburi"", 'Funding Number': '', 'Acronym': 'KMUTT'}]"
A randomized control trial of oral sucrose solution for prevention of hypoglycemia in high risk infants(Article)(Open Access),"['Surachaidungtavil, S.', 'Chanvorachote, P.', 'Suksumek, N.']","Volume 34, Issue 3, June 2020, Pages 1493-1497","Background: Neonatal hypoglycemia is found in up to 15% of neonates and 50% of those with risk factors. Hypoglycemia can cause brain damage and increase risk of developmental delay. Nevertheless, the data regarding hypoglycemia prevention by oral sucrose are still limited. The present study aimed to investigate whether oral sucrose solution can prevent hypoglycemia in high-risk infants. Patients and Methods: Four hundred and twenty-five infants with high hypoglycemic risk were randomized into two groups (214 infants in the intervention and 211 infants in the control groups). The intervention group received one dose of 0.8 ml/kg of 24% oral sucrose solution followed by enteral feed and was compared to the control group receiving enteral feed alone. Glucose levels were evaluated by Dextrostrix. Results: There was no significant difference in antenatal and perinatal risk factors of neonatal hypoglycemia between groups. Glucose level on admission was 72.1±20.3 and 72.1±24.1 mg/dl in the intervention and control groups, respectively. Although no significant difference was recognized in terms of capillary blood glucose levels between groups, data analysis revealed that the glucose increase over time was significantly higher in the intervention group at 1 h (mean±SE=3.61±1.27 mg/dl; p<0.005), 3 h (mean±SE=7.95±1.57 mg/dl, p<0.001), and 6 h (mean±SE=6.31±1.62 mg/dl, p<0.001) in comparison to those of the control. No serious adverse event was observed in either group. Conclusion: A single dose of 24% sucrose solution enhanced the increase of glucose level at 1, 3 and 6 h. However, routine early feeding alone is not inferior to the addition of an oral sucrose solution. © 2020 International Institute of Anticancer Research. All rights reserved.",In Vivo,"{'ISSN': '0258851X', 'Source Type': 'IVIVE', 'Original Language': 'Journal'}","{'Document Type': '10.21873/invivo.11935', 'Publisher': '32354952'}","['24% Oral sucrose solution', 'Early feeding', 'High-risk infants', 'Neonatal hypoglycemia', 'glucose', 'sucrose', 'sucrose', 'Article', 'birth weight', 'capillary blood', 'controlled study', 'female', 'gestational age', 'glucose blood level', 'glucose level', 'high risk infant', 'human', 'hypoglycemia', 'length of stay', 'major clinical study', 'male', 'maternal diabetes mellitus', 'newborn', 'randomized controlled trial', 'risk factor', 'unspecified side effect', 'blood', 'clinical trial', 'hypoglycemia', 'infant', 'pregnancy', 'solution and solubility', 'time factor', 'Birth Weight', 'Blood Glucose', 'Female', 'Humans', 'Hypoglycemia', 'Infant', 'Infant, Newborn', 'Male', 'Pregnancy', 'Risk Factors', 'Solutions', 'Sucrose', 'Time Factors']","['aDepartment of Pediatrics, Phramongkutklao Hospital and Phramongkutklao College of Medicine, Bangkok, 10400, Thailand', 'bDepartment of Pharmacology and Physiology, Faculty of Pharmaceutical Sciences, Chulalongkorn University, Bangkok, Thailand']",[]
